2026-01-07 16:46:36,862 p=10777 u=mparmar n=ansible | - Role system-prep was created successfully
2026-01-07 17:27:26,494 p=27461 u=mparmar n=ansible | ERROR! the playbook: test.yml could not be found
2026-01-07 17:28:49,986 p=28053 u=mparmar n=ansible | ERROR! the playbook: test.yml could not be found
2026-01-07 17:44:12,448 p=34231 u=mparmar n=ansible | [WARNING]: Could not match supplied host pattern, ignoring: web

2026-01-07 17:44:12,449 p=34231 u=mparmar n=ansible | PLAY [web] ***********************************************************************************************************************************************
2026-01-07 17:44:12,449 p=34231 u=mparmar n=ansible | skipping: no hosts matched
2026-01-07 17:44:12,449 p=34231 u=mparmar n=ansible | PLAY RECAP ***********************************************************************************************************************************************
2026-01-07 17:56:01,890 p=38453 u=mparmar n=ansible | [WARNING]: Unable to parse /home/mparmar/ansible/roles/system-prep/tests/i as an inventory source

2026-01-07 17:56:01,890 p=38453 u=mparmar n=ansible | [WARNING]: No inventory was parsed, only implicit localhost is available

2026-01-07 17:56:01,893 p=38453 u=mparmar n=ansible | [WARNING]: provided hosts list is empty, only localhost is available. Note that the implicit localhost does not match 'all'

2026-01-07 17:56:01,970 p=38453 u=mparmar n=ansible | [WARNING]: Could not match supplied host pattern, ignoring: web

2026-01-07 17:56:01,971 p=38453 u=mparmar n=ansible | PLAY [web] ***********************************************************************************************************************************************
2026-01-07 17:56:01,971 p=38453 u=mparmar n=ansible | skipping: no hosts matched
2026-01-07 17:56:01,971 p=38453 u=mparmar n=ansible | PLAY RECAP ***********************************************************************************************************************************************
2026-01-07 17:56:07,234 p=38512 u=mparmar n=ansible | [WARNING]: Unable to parse /home/mparmar/ansible/roles/system-prep/tests/in as an inventory source

2026-01-07 17:56:07,234 p=38512 u=mparmar n=ansible | [WARNING]: No inventory was parsed, only implicit localhost is available

2026-01-07 17:56:07,237 p=38512 u=mparmar n=ansible | [WARNING]: provided hosts list is empty, only localhost is available. Note that the implicit localhost does not match 'all'

2026-01-07 17:56:07,313 p=38512 u=mparmar n=ansible | [WARNING]: Could not match supplied host pattern, ignoring: web

